#MZ SEK INT
265.2162 500 0.9632
271.5250 500 0.0071
284.2948 500 0.5291
349.8624 500 0.3046
405.2386 500 0.9282
475.3629 500 0.0071
524.2900 500 0.3046
589.9386 500 0.0822
607.3542 500 0.9282
812.5604 500 0.0071
884.4043 500 0.0822
1047.5728 500 0.3046
265.2162 502 0.9632
271.5250 502 0.0398
284.2948 502 0.8964
349.8624 502 0.5596
405.2386 502 1.0143
445.2309 502 0.0000
475.3629 502 0.0106
524.2900 502 0.5596
589.9386 502 0.2877
607.3542 502 1.0143
667.3427 502 0.0000
691.3279 502 0.0000
812.5604 502 0.0398
884.4043 502 0.2877
1036.4882 502 0.0000
1047.5728 502 0.5596
265.2162 504 0.9632
271.5250 504 0.1522
284.2948 504 0.8755
349.8624 504 0.8242
405.2386 504 0.9050
445.2309 504 0.0000
444.2457 504 0.0001
475.3629 504 0.0155
524.2900 504 0.8242
589.9386 504 0.6516
607.3542 504 0.9050
667.3427 504 0.0000
665.8649 504 0.0001
691.3279 504 0.0011
812.5604 504 0.1522
884.4043 504 0.6516
1036.4882 504 0.0011
1047.5728 504 0.8242
271.5250 506 0.4022
284.2948 506 0.4896
349.8624 506 0.9757
406.7838 506 0.4022
405.2386 506 0.6601
430.2158 506 0.0001
444.2457 506 0.0050
475.3629 506 0.0223
524.2900 506 0.9757
589.9386 506 0.9566
607.3542 506 0.6601
665.8649 506 0.0050
691.3279 506 0.0487
812.5604 506 0.4022
859.4243 506 0.0001
884.4043 506 0.9566
1036.4882 506 0.0487
1047.5728 506 0.9757
271.5250 508 0.7379
284.2948 508 0.1562
349.8624 508 0.9310
405.2386 508 0.3941
406.7838 508 0.7379
430.2158 508 0.0078
444.2457 508 0.0681
475.3629 508 0.0316
524.2900 508 0.9310
589.9386 508 0.9055
607.3542 508 0.3941
665.8649 508 0.0681
691.3279 508 0.3572
812.5604 508 0.7379
859.4243 508 0.0078
884.4043 508 0.9055
1036.4882 508 0.3572
1047.5728 508 0.9310
271.5250 510 0.9419
287.1463 510 0.1486
349.8624 510 0.7179
355.8770 510 0.0001
368.8696 510 0.0001
406.7838 510 0.9419
430.2158 510 0.1486
444.2457 510 0.3613
475.3629 510 0.0439
524.2900 510 0.7179
533.3118 510 0.0001
552.8008 510 0.0001
589.9386 510 0.5473
607.3542 510 0.1928
665.8649 510 0.3613
691.3279 510 0.8863
694.8274 510 0.0000
812.5604 510 0.9419
859.4243 510 0.1486
884.4043 510 0.5473
1036.4882 510 0.8863
1047.5728 510 0.7179
1065.6164 510 0.0001
1104.5942 510 0.0001
271.5250 512 0.8373
287.1463 512 0.6728
349.8624 512 0.4486
355.8770 512 0.0014
368.8696 512 0.0008
406.7838 512 0.8373
430.2158 512 0.6728
445.2309 512 0.3732
444.2457 512 0.8349
452.9971 512 0.0010
475.3629 512 0.0600
524.2900 512 0.4486
533.3118 512 0.0014
552.8008 512 0.0008
589.9386 512 0.2088
603.6604 512 0.0010
607.3542 512 0.0774
667.3427 512 0.3732
665.8649 512 0.8349
691.3279 512 0.7196
694.8274 512 0.0004
812.5604 512 0.8373
859.4243 512 0.6728
884.4043 512 0.2088
904.9869 512 0.0010
1036.4882 512 0.7196
1047.5728 512 0.4486
1065.6164 512 0.0014
1104.5942 512 0.0008
249.1883 514 0.0000
271.5250 514 0.5186
287.1463 514 0.8783
323.2040 514 0.0002
349.8624 514 0.2278
355.8770 514 0.0117
368.8696 514 0.0017
406.7838 514 0.5186
430.2158 514 0.8783
445.2309 514 0.7774
444.2457 514 0.9604
452.9971 514 0.2256
475.3629 514 0.0808
524.2900 514 0.2278
533.3118 514 0.0117
552.8008 514 0.0017
589.9386 514 0.0498
603.6604 514 0.2256
607.3542 514 0.0255
645.4006 514 0.0002
667.3427 514 0.7774
665.8649 514 0.9604
691.3279 514 0.2087
694.8274 514 0.0025
812.5604 514 0.5186
859.4243 514 0.8783
884.4043 514 0.0498
904.9869 514 0.2256
1036.4882 514 0.2087
1047.5728 514 0.2278
1065.6164 514 0.0117
1104.5942 514 0.0017
249.1883 516 0.0003
271.5250 516 0.2242
287.1463 516 0.4038
