scan_num,charge,abundance,mz,fit,average_mw,monoisotopic_mw,mostabundant_mw,fwhm,signal_noise,mono_abundance,mono_plus2_abundance,flag,interference_score
0,2,21036390,703.84485,3.3861E-04,1406.62622,1405.67624,1405.67624,0.0151,100,21036390,7954363,,0.05783
0,3,20339850,514.96496,0.0018,1542.90813,1541.87468,1541.87468,0.0095,100,20339850,8179997,,0.06776
0,2,10921599,718.33295,0.012,1435.61763,1434.65244,1434.65244,0.0155,100,10921599,3556280,,0.02441
0,5,10281155,691.28737,0.0023,3451.58625,3449.3977,3451.40322,0.0148,100,5087175,10281155,,0.00773
0,2,7485822,726.31331,0.0116,1451.59006,1450.61316,1450.61316,0.0161,100,7485822,2515583,,0.1948
0,4,7145296,559.04607,0.0042,2232.60162,2231.15447,2232.15738,0.0107,100,6231696,5259759,,0.08629
0,2,5503335,400.71992,0.0137,799.91946,799.42637,799.42637,0.0064,100,5503335,328906,,0.3873
0,2,5199943,513.30861,0.0024,1025.23437,1024.60377,1024.60377,0.0098,100,5199943,897860,,0.15704
0,2,4597584,799.84101,0.011,1598.73059,1597.66857,1597.66857,0.018,100,4597584,2322656,,0.39399
0,2,4405911,666.85341,0.017,1332.59141,1331.69336,1331.69336,0.0141,100,4405911,1122013,,0.13165
0,2,4324031,958.9234,0.0019,1917.0863,1915.83335,1916.83626,0.0238,100,4324031,2674326,,0
0,2,4110230,495.26977,0.0064,989.12908,988.52609,988.52609,0.0091,100,4110230,1059836,,0.29371
0,2,3818361,488.74893,0.0032,976.07615,975.48441,975.48441,0.0088,100,3818361,508085,,0.37233
0,3,3672767,547.96445,0.0049,1641.96232,1640.87317,1640.87317,0.0104,100,3672767,1617567,,0.23596
0,4,3663845,863.85695,0.0189,3451.58394,3449.39539,3451.4009,0.0207,100,2382713,3663845,,0.09977
0,3,3300061,614.27521,0.0047,1841.01547,1839.80546,1840.80837,0.0125,100,3300061,2050613,,0.11744
0,2,3045581,821.44338,0.0049,1641.96244,1640.8733,1640.8733,0.0195,100,3045581,1296900,,0.35282
0,2,2834643,733.83326,0.0159,1466.63223,1465.65306,1465.65306,0.0168,100,2834643,964487,,0.33611
0,2,2786090,692.8927,0.0163,1384.70726,1383.77194,1383.77194,0.0149,100,2786090,967909,,0.52403
0,2,2731644,784.42514,0.0242,1567.88333,1566.83682,1566.83682,0.0178,40.36,2731644,787201,,0.25022
0,2,2717827,534.31388,0.003,1067.26054,1066.61431,1066.61431,0.0102,100,2717827,570740,,0.71378
0,2,2677803,702.37199,0.0136,1403.67075,1402.73052,1402.73052,0.0151,100,2677803,845698,,0.28087
0,2,2597580,537.29471,9.4757E-04,1073.2324,1072.57596,1072.57596,0.0102,100,2597580,567127,,0.39376
0,2,2559641,1093.98984,0.0185,2187.38565,2185.96623,2186.96912,0.0291,100,2559641,1455143,,0
0,2,2500785,389.21026,0.0265,776.88366,776.40706,776.40706,0.0061,100,2500785,202663,,0.18827
0,6,2476934,485.0874,0.1124,2904.33812,2902.4786,2903.4815,0.0087,100,334862,2476934,,0.30647
0,2,2415638,823.35944,0.0134,1645.79519,1644.70543,1644.70543,0.0192,100,2415638,1143176,,0.26448
0,2,2208320,771.9441,0.0239,1542.90819,1541.87475,1541.87475,0.0173,100,2208320,722243,,0.09551
0,2,2193773,575.8132,0.0597,1150.31246,1149.61293,1149.61293,0.0118,100,2193773,1136881,,0.53182
