peak_index	scan_num	mz	intensity	fwhm	signal_noise	MSFeatureID
1	0	300.01586	59935	0.0045	100	-1
2	0	307.97156	62857	0.0051	100	-1
3	0	309.09344	3398791	0.0044	100	158
4	0	309.13047	83437	0.0052	100	-1
5	0	309.2043	592589	0.0042	100	158
6	0	309.70632	84180	0.0047	100	-1
7	0	310.09726	424382	0.0044	100	231
8	0	310.17547	106438	0.005	100	-1
9	0	310.1989	76179	0.0047	100	-1
10	0	311.0893	413737	0.0043	100	-1
11	0	312.5077	70294	0.0044	100	-1
12	0	312.66233	59793	0.005	100	-1
13	0	312.84232	103663	0.0056	100	-1
14	0	314.23099	92117	0.0052	100	-1
15	0	318.18325	282675	0.0042	100	334
16	0	318.51764	239319	0.0045	100	334
17	0	318.85188	81546	0.0049	100	334
18	0	319.17624	193233	0.0045	100	-1
19	0	319.67761	80558	0.0057	100	-1
20	0	322.1193	64792	0.0051	100	-1
21	0	323.14667	75410	0.0065	100	-1
22	0	323.53527	69355	0.0046	100	-1
23	0	324.70747	201030	0.0044	100	-1
24	0	325.19887	429615	0.0047	100	228
25	0	325.68638	499601	0.0046	100	-1
26	0	325.70124	181887	0.0042	100	228
27	0	327.00716	69162	0.005	100	-1
28	0	329.00473	155459	0.0054	100	-1
29	0	329.19753	1113301	0.0049	100	70
30	0	329.53178	843599	0.0049	100	70
31	0	329.68775	100534	0.0063	100	-1
32	0	329.70552	84740	0.0055	100	-1
33	0	329.86645	360865	0.0047	100	70
34	0	331.07529	1631145	0.0049	100	-1
35	0	332.07875	236877	0.0048	100	-1
36	0	333.07147	106874	0.0057	100	-1
37	0	335.19009	102540	0.0068	100	-1
38	0	335.20186	175728	0.0047	100	-1
39	0	335.84106	62013	0.0055	100	-1
40	0	336.73645	176494	0.0051	100	-1
41	0	337.89493	517519	0.0048	100	185
42	0	338.22957	277762	0.0051	100	185
43	0	339.2021	89629	0.0059	100	-1
44	0	339.69408	354984	0.0049	12.79	-1
45	0	339.70221	82591	0.0045	2.98	-1
46	0	340.69378	243808	0.0047	100	368
47	0	341.19518	111467	0.0065	100	368
48	0	344.70432	204797	0.0051	100	409
49	0	345.20651	111970	0.0063	100	409
50	0	345.6828	71441	0.0059	100	-1
51	0	348.01398	101206	0.006	100	-1
52	0	349.73148	67835	0.0057	100	-1
53	0	349.85522	154528	0.0061	100	-1
54	0	350.18829	74688	0.0054	100	-1
55	0	350.54211	240289	0.0056	100	371
56	0	350.87561	227342	0.0056	100	371
57	0	351.16986	167301	0.0053	100	-1
58	0	351.72395	80399	0.0148	1.86	-1
59	0	351.73227	113274	0.0061	2.62	-1
60	0	352.56519	72273	0.0057	100	-1
61	0	353.1711	246224	0.005	14.01	-1
62	0	353.17985	70150	0.0067	3.99	-1
63	0	353.67359	73500	0.0055	100	-1
64	0	353.69851	78853	0.0074	1.0	-1
65	0	353.70014	88601	0.0071	1.13	-1
66	0	353.7098	608672	0.0054	100	157
67	0	354.19732	496600	0.0053	100	199
68	0	354.21162	176752	0.0071	100	157
69	0	354.6957	270344	0.0064	100	199
70	0	354.70868	77803	0.0078	100	157
71	0	356.21313	400001	0.0055	100	247
72	0	356.22762	66199	0.0065	100	-1
73	0	356.54499	584582	0.0057	100	161
74	0	356.87934	355340	0.0055	100	161
75	0	357.18498	80848	0.0061	100	-1
76	0	357.21339	87091	0.0061	100	247
77	0	357.24963	101803	0.0063	100	-1
78	0	357.74178	209556	0.0051	100	401
79	0	358.18916	98541	0.0068	100	-1
80	0	358.21915	91534	0.0069	100	247
